ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
17,31,4.504471,-74.125923,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182700424002,0.182700424002,0.182700424002,0.182700424002,0.182700424002,0.0,0.182700424002,0.182700424002,0.182700424002,0.182700424002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40,4.701714,-74.044975,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196933057469,0.0196933057469,0.0196933057469,0.0196933057469,0.0196933057469,0.0,0.0196933057469,0.0196933057469,0.0196933057469,0.0196933057469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,29,4.540337,-74.143913,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00177711669975,0.00177711669975,0.00177711669975,0.00177711669975,0.00177711669975,0.0,0.00177711669975,0.00177711669975,0.00177711669975,0.00177711669975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,33,4.513443,-74.107941,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00609701505467,0.00609701505467,0.00609701505467,0.00609701505467,0.00609701505467,0.0,0.00609701505467,0.00609701505467,0.00609701505467,0.00609701505467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,32,4.5224,-74.107941,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0661093856558,0.0661093856558,0.0661093856558,0.0661093856558,0.0661093856558,0.0,0.0661093856558,0.0661093856558,0.0661093856558,0.0661093856558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,33,4.5224,-74.107941,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186570561316,0.186570561316,0.186570561316,0.186570561316,0.186570561316,0.0,0.186570561316,0.186570561316,0.186570561316,0.186570561316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,29,4.531372,-74.143913,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046240198725,0.0046240198725,0.0046240198725,0.0046240198725,0.0046240198725,0.0,0.0046240198725,0.0046240198725,0.0046240198725,0.0046240198725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,33,4.531372,-74.107941,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033223626555,0.033223626555,0.033223626555,0.033223626555,0.033223626555,0.0,0.033223626555,0.033223626555,0.033223626555,0.033223626555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,43,4.728607,-74.01799,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430828564,0.05430828564,0.05430828564,0.05430828564,0.05430828564,0.0,0.05430828564,0.05430828564,0.05430828564,0.05430828564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,28,4.558266,-74.152908,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138210531165,0.0138210531165,0.0138210531165,0.0138210531165,0.0138210531165,0.0,0.0138210531165,0.0138210531165,0.0138210531165,0.0138210531165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,43,4.755493,-74.01799,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111470551045,0.111470551045,0.111470551045,0.111470551045,0.111470551045,0.0,0.111470551045,0.111470551045,0.111470551045,0.111470551045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
